Source	Target	Weight
9606.ENSP00000485638	9606.ENSP00000463419	0.988833
9606.ENSP00000396688	9606.ENSP00000415941	0.988830
9606.ENSP00000415941	9606.ENSP00000396688	0.988830
9606.ENSP00000225430	9606.ENSP00000361076	0.988817
9606.ENSP00000361076	9606.ENSP00000225430	0.988817
9606.ENSP00000301072	9606.ENSP00000336799	0.988794
9606.ENSP00000336799	9606.ENSP00000301072	0.988794
9606.ENSP00000225430	9606.ENSP00000363676	0.988792
9606.ENSP00000363676	9606.ENSP00000225430	0.988792
9606.ENSP00000360671	9606.ENSP00000370808	0.988778
9606.ENSP00000370808	9606.ENSP00000360671	0.988778
9606.ENSP00000439444	9606.ENSP00000485638	0.988778
9606.ENSP00000485638	9606.ENSP00000439444	0.988778
9606.ENSP00000485206	9606.ENSP00000485638	0.988772
9606.ENSP00000485638	9606.ENSP00000485206	0.988772
9606.ENSP00000296674	9606.ENSP00000435777	0.988757
9606.ENSP00000435777	9606.ENSP00000296674	0.988757
9606.ENSP00000251453	9606.ENSP00000302896	0.988736
9606.ENSP00000302896	9606.ENSP00000251453	0.988736
9606.ENSP00000272317	9606.ENSP00000441543	0.988720
9606.ENSP00000441543	9606.ENSP00000272317	0.988720
9606.ENSP00000378163	9606.ENSP00000419117	0.988703
9606.ENSP00000419117	9606.ENSP00000378163	0.988703
9606.ENSP00000289316	9606.ENSP00000445831	0.988674
9606.ENSP00000445831	9606.ENSP00000289316	0.988674
9606.ENSP00000302896	9606.ENSP00000393241	0.988650
9606.ENSP00000393241	9606.ENSP00000302896	0.988650
9606.ENSP00000290378	9606.ENSP00000355645	0.988597
9606.ENSP00000355645	9606.ENSP00000290378	0.988597
9606.ENSP00000385479	9606.ENSP00000484841	0.988566
9606.ENSP00000484841	9606.ENSP00000385479	0.988566
9606.ENSP00000332604	9606.ENSP00000370258	0.988510
9606.ENSP00000370258	9606.ENSP00000332604	0.988510
9606.ENSP00000355656	9606.ENSP00000367022	0.988507
9606.ENSP00000367022	9606.ENSP00000355656	0.988507
9606.ENSP00000361400	9606.ENSP00000397082	0.988472
9606.ENSP00000397082	9606.ENSP00000361400	0.988472
9606.ENSP00000230050	9606.ENSP00000428085	0.988460
9606.ENSP00000428085	9606.ENSP00000230050	0.988460
9606.ENSP00000477527	9606.ENSP00000482674	0.988456
9606.ENSP00000482674	9606.ENSP00000477527	0.988456
9606.ENSP00000358151	9606.ENSP00000476136	0.988430
9606.ENSP00000476136	9606.ENSP00000358151	0.988430
9606.ENSP00000289316	9606.ENSP00000481622	0.988423
9606.ENSP00000332194	9606.ENSP00000341094	0.988423
9606.ENSP00000341094	9606.ENSP00000332194	0.988423
9606.ENSP00000481622	9606.ENSP00000289316	0.988423
